r r 
-0.337147 -0.339965 
-0.004092 -0.00654059 
0.000171946 0.309042 
0.00566808 -0.00373722 
-0.00196323 -0.313278 
-0.0123587 -0.0052002 
-0.000221957 0.332729 
0.0114851 -0.00417354 
0.343278 -0.315034 
-0.336562 -0.340591 
-0.00603993 -0.00954006 
-0.00457602 0.293643 
0.00654276 -0.0069016 
0.00161582 -0.300097 
-0.0175846 -0.00735195 
0.000200993 0.332842 
0.0159987 -0.00638448 
0.352782 -0.301649 
-0.338032 -0.343155 
-0.00894918 -0.0133997 
-0.00408769 0.284404 
0.00569059 -0.0114045 
0.00318372 -0.289752 
-0.0236001 -0.0105889 
-1.16945e-05 0.332249 
0.0219353 -0.00652574 
0.362324 -0.288401 
-0.340006 -0.346117 
-0.0132047 -0.0185139 
-0.00465518 0.274949 
0.00679105 -0.0136022 
0.00265954 -0.282246 
-0.0286387 -0.0131171 
0.000150844 0.331969 
0.0280829 -0.00586923 
0.371602 -0.275575 
-0.341468 -0.348472 
-0.014228 -0.0203126 
-0.00477897 0.266701 
0.00377412 -0.0195974 
0.00544458 -0.27211 
-0.0302916 -0.0125032 
-0.00110046 0.330218 
0.0355618 -0.0033487 
0.377206 -0.266568 
-0.341126 -0.348936 
-0.0168992 -0.0236835 
-0.00339352 0.260654 
0.0034563 -0.0226031 
0.00946282 -0.261359 
-0.0361401 -0.016306 
-0.00231146 0.328457 
0.0443355 0.000949989 
0.385465 -0.255039 
-0.34172 -0.350255 
-0.0175659 -0.0249814 
-0.00274156 0.254502 
0.00503549 -0.0234482 
0.0163706 -0.248277 
-0.0448074 -0.0231281 
-0.00436472 0.325807 
0.0526902 0.00526847 
0.39536 -0.241995 
-0.33746 -0.34665 
-0.0183176 -0.026302 
-0.00639892 0.244612 
0.00521665 -0.0254522 
0.0219808 -0.237002 
-0.0546657 -0.0313232 
-0.00540469 0.324129 
0.0622704 0.0112107 
0.405691 -0.228625 
-0.339673 -0.349453 
-0.0169368 -0.0254335 
-0.0104168 0.23488 
0.00193227 -0.0307047 
0.0250803 -0.2287 
