t PE VE
0 0.5 0.05
1 0.5 0.05
2 0.5 0.05
3 0.5 0.0500001
4 0.5 0.0500001
5 0.5 0.0500002
6 0.5 0.0500002
7 0.5 0.0500003
8 0.499999 0.0500004
9 0.499999 0.0500005
10 0.499999 0.0500006
11 0.499999 0.0500007
12 0.499999 0.0500008
13 0.499999 0.050001
14 0.499998 0.0500011
15 0.499998 0.0500013
16 0.499998 0.0500014
17 0.499998 0.0500016
18 0.499997 0.0500018
19 0.499997 0.050002
20 0.499997 0.0500022
21 0.499997 0.0500024
22 0.499996 0.0500027
23 0.499996 0.0500029
24 0.499996 0.0500031
25 0.499995 0.0500034
26 0.499995 0.0500037
27 0.499995 0.0500039
28 0.499994 0.0500042
29 0.499994 0.0500045
30 0.499993 0.0500048
31 0.499993 0.0500051
32 0.499992 0.0500055
33 0.499992 0.0500058
34 0.499991 0.0500061
35 0.499991 0.0500065
36 0.49999 0.0500069
37 0.49999 0.0500072
38 0.499989 0.0500076
39 0.499989 0.050008
40 0.499988 0.0500084
41 0.499988 0.0500089
42 0.499987 0.0500093
43 0.499986 0.0500097
44 0.499986 0.0500102
45 0.499985 0.0500106
46 0.499985 0.0500111
47 0.499984 0.0500116
48 0.499983 0.0500121
49 0.499982 0.0500126
50 0.499982 0.0500131
51 0.499981 0.0500136
52 0.49998 0.0500141
53 0.49998 0.0500147
54 0.499979 0.0500152
55 0.499978 0.0500158
56 0.499977 0.0500163
57 0.499976 0.0500169
58 0.499976 0.0500175
59 0.499975 0.0500181
60 0.499974 0.0500187
61 0.499973 0.0500193
62 0.499972 0.05002
63 0.499971 0.0500206
64 0.49997 0.0500213
65 0.499969 0.0500219
66 0.499969 0.0500226
67 0.499968 0.0500233
68 0.499967 0.050024
69 0.499966 0.0500247
70 0.499965 0.0500254
71 0.499964 0.0500261
72 0.499963 0.0500268
73 0.499962 0.0500276
74 0.499961 0.0500283
75 0.49996 0.0500291
76 0.499958 0.0500299
77 0.499957 0.0500307
78 0.499956 0.0500315
79 0.499955 0.0500323
80 0.499954 0.0500331
81 0.499953 0.0500339
82 0.499952 0.0500347
83 0.499951 0.0500356
84 0.499949 0.0500364
85 0.499948 0.0500373
86 0.499947 0.0500382
87 0.499946 0.0500391
88 0.499945 0.05004
89 0.499943 0.0500409
90 0.499942 0.0500418
91 0.499941 0.0500427
92 0.499939 0.0500437
93 0.499938 0.0500446
94 0.499937 0.0500456
95 0.499935 0.0500465
96 0.499934 0.0500475
97 0.499933 0.0500485
98 0.499931 0.0500495
99 0.49993 0.0500505
100 0.499929 0.0500515
101 0.499927 0.0500526
102 0.499926 0.0500536
103 0.499924 0.0500547
104 0.499923 0.0500557
105 0.499921 0.0500568
106 0.49992 0.0500579
107 0.499918 0.050059
108 0.499917 0.0500601
109 0.499915 0.0500612
110 0.499914 0.0500623
111 0.499912 0.0500635
112 0.499911 0.0500646
113 0.499909 0.0500658
114 0.499907 0.0500669
115 0.499906 0.0500681
116 0.499904 0.0500693
117 0.499902 0.0500705
118 0.499901 0.0500717
119 0.499899 0.0500729
120 0.499897 0.0500741
121 0.499896 0.0500754
122 0.499894 0.0500766
123 0.499892 0.0500779
124 0.49989 0.0500792
125 0.499889 0.0500804
126 0.499887 0.0500817
127 0.499885 0.050083
128 0.499883 0.0500843
129 0.499882 0.0500857
130 0.49988 0.050087
131 0.499878 0.0500883
