t PE VE R R2
2 4.66564 0.217341 0.0640342 0.213986
3 4.40935 0.367687 0.0809992 0.365335
4 4.0849 0.565601 0.0945356 0.541751
5 3.69639 0.801448 0.10417 0.731496
6 3.2491 1.05983 0.109651 0.922119
7 2.74962 1.32128 0.110963 1.10133
8 2.20581 1.56451 0.108323 1.25785
9 1.62687 1.76898 0.102171 1.38213
10 1.02322 1.91735 0.0931362 1.46697
11 0.406397 1.99756 0.0820036 1.50795
12 -0.211185 2.00414 0.0696634 1.50364
13 -0.81646 1.93875 0.057058 1.45568
14 -1.39603 1.80974 0.0451251 1.36859
15 -1.93649 1.63089 0.0347412 1.24947
16 -2.42484 1.41956 0.0266694 1.10749
17 -2.84884 1.19472 0.0215137 0.953279
18 -3.19739 0.974928 0.0196829 0.798205
19 -3.46097 0.776567 0.0213668 0.653599
20 -3.63194 0.612738 0.0265249 0.529965
21 -3.7049 0.492491 0.0348894 0.436229
22 -3.67694 0.42142 0.0459821 0.379086
23 -3.54778 0.401429 0.0591432 0.362484
24 -3.31993 0.431478 0.073572 0.387313
25 -2.99862 0.509524 0.0883751 0.451301
26 -2.59165 0.631802 0.102621 0.549172
27 -2.10919 0.791004 0.115398 0.673027
28 -1.56341 0.976425 0.125867 0.81294
29 -0.968049 1.17451 0.133317 0.957719
30 -0.337935 1.36873 0.137204 1.09577
31 0.311519 1.54112 0.137189 1.21598
32 0.964835 1.67434 0.13316 1.30857
33 1.60695 1.7539 0.125237 1.36582
34 2.22362 1.7702 0.113769 1.38263
35 2.80183 1.71988 0.0993146 1.35688
36 3.33003 1.60634 0.0826112 1.28954
37 3.79833 1.43942 0.0645309 1.18462
38 4.19869 1.2342 0.0460316 1.04879
39 4.52488 1.00906 0.0281008 0.890979
40 4.77254 0.783343 0.0116991 0.721712
41 4.93909 0.574941 -0.00229669 0.552407
42 5.02363 0.3981 -0.0131437 0.394623
43 5.02682 0.261838 -0.0202769 0.259291
44 4.95069 0.169105 -0.0233413 0.155989
45 4.79851 0.11716 -0.0222126 0.0922924
46 4.57457 0.101496 -0.0170041 0.0732424
47 4.28401 0.123059 -0.00805973 0.100968
48 3.93268 0.188883 0.00406699 0.174485
49 3.52699 0.305213 0.0186455 0.289702
50 3.07383 0.473895 0.0348118 0.43964
51 2.58049 0.690898 0.0516193 0.614861
52 2.05464 0.945825 0.0680947 0.804089
53 1.50435 1.22243 0.0832953 0.994983
54 0.938126 1.50013 0.0963645 1.175
55 0.364913 1.7563 0.106581 1.33232
56 -0.205854 1.96894 0.113403 1.45666
57 -0.764287 2.11938 0.116497 1.54006
58 -1.30011 2.19454 0.115755 1.57746
