n t PE VE R R2 BS
9000 0 0.410386 0.444663 0.0126125 0.454267 0.40067
19000 590000 0.528519 0.531414 0.0197321 0.552646 0.460578
29000 590000 0.437389 0.475348 -0.00376367 0.477266 0.436251
39000 580000 0.445789 0.427866 0.0390768 0.432752 0.412301
49000 590000 0.588981 0.489187 -0.0513141 0.512091 0.440887
59000 590000 0.437893 0.487175 -0.00624059 0.488138 0.452271
69000 590000 0.594628 0.579581 0.0146453 0.61915 0.480208
79000 590000 0.528387 0.54629 0.0390481 0.584843 0.453303
89000 580000 0.486834 0.505164 0.0815318 0.523602 0.449373
99000 590000 0.565587 0.456308 -0.00120913 0.485003 0.41176
109000 590000 0.431609 0.479013 0.00243449 0.500461 0.434333
119000 590000 0.458572 0.394377 0.0353117 0.383313 0.395087
129000 580000 0.493179 0.442605 0.0371565 0.446071 0.425132
139000 590000 0.529961 0.474496 -0.0356102 0.487335 0.426395
149000 590000 0.51782 0.438875 0.0449512 0.443641 0.421149
159000 590000 0.508138 0.485231 0.00109868 0.498221 0.432263
169000 590000 0.681177 0.623033 0.0147914 0.676073 0.482105
179000 580000 0.448824 0.475848 0.0302298 0.493273 0.435115
189000 590000 0.474283 0.441436 -0.004008 0.453894 0.413651
199000 590000 0.657034 0.531289 -0.0920708 0.544877 0.456088
209000 590000 0.472444 0.454654 0.0965021 0.450552 0.43722
219000 590000 0.45622 0.486845 0.0231505 0.487029 0.451637
229000 580000 0.416909 0.474796 0.0193391 0.481077 0.432282
239000 590000 0.588012 0.493734 -0.0269964 0.507994 0.436682
249000 590000 0.559168 0.483908 -0.00580042 0.495451 0.441025
259000 590000 0.405925 0.462627 -0.08509 0.455118 0.443138
269000 580000 0.582465 0.517326 0.0732211 0.58791 0.414607
279000 590000 0.466716 0.420339 -0.0472833 0.408703 0.428076
289000 590000 0.479989 0.463535 -0.0776467 0.45519 0.443391
299000 590000 0.487481 0.485784 -0.00187856 0.517306 0.429622
309000 580000 0.480667 0.445695 0.00704972 0.458086 0.423438
319000 590000 0.489726 0.564269 -0.0124294 0.588997 0.472433
329000 590000 0.45493 0.467395 -0.0447578 0.486207 0.415748
339000 580000 0.542221 0.472428 -0.0117718 0.486592 0.428653
349000 590000 0.421235 0.464885 0.0351373 0.483444 0.415398
359000 590000 0.503464 0.489596 0.0561385 0.492614 0.438353
369000 590000 0.549907 0.450621 0.0608921 0.482375 0.396998
379000 590000 0.320927 0.488922 0.0559753 0.520725 0.435257
389000 580000 0.540765 0.55342 -0.0978512 0.610722 0.43835
399000 590000 0.470076 0.504914 -0.0234555 0.52926 0.443264
409000 590000 0.536758 0.459961 -0.0229877 0.495968 0.404585
419000 580000 0.504664 0.461299 0.0583339 0.473704 0.423262
429000 590000 0.455269 0.437776 -0.00665351 0.455917 0.406457
439000 590000 0.521244 0.496684 -0.00912001 0.528577 0.429894
449000 590000 0.530171 0.445513 0.0281258 0.426167 0.429967
459000 580000 0.532507 0.459512 -0.00184281 0.509484 0.393843
469000 590000 0.524241 0.565189 0.0330173 0.604056 0.462069
479000 590000 0.526731 0.447262 -0.0127883 0.46085 0.418309
489000 590000 0.514919 0.542853 0.0199651 0.562533 0.460501
499000 590000 0.539364 0.491149 -0.0317637 0.507273 0.442921
509000 580000 0.403683 0.411772 -0.0106084 0.417382 0.40243
519000 590000 0.556036 0.538752 0.090541 0.551542 0.467727
529000 590000 0.467686 0.557613 0.0524756 0.548971 0.480902
539000 590000 0.479231 0.502144 0.0170243 0.550923 0.421231
549000 590000 0.536523 0.499788 0.0524307 0.519968 0.448169
559000 580000 0.405625 0.558692 0.000480048 0.54556 0.481302
569000 590000 0.480736 0.456298 0.04768 0.469086 0.421164
579000 590000 0.452136 0.448024 0.0687845 0.459983 0.42468
589000 580000 0.509468 0.48714 -0.0222861 0.551982 0.407453
599000 590000 0.541237 0.523218 0.0440064 0.579218 0.438022
609000 590000 0.596732 0.514567 0.00130197 0.533038 0.450013
619000 590000 0.48412 0.507921 -0.0128524 0.516116 0.452943
