t PE VE R R2
1 0.459171 0.449868 0.168759 0.443821
2 0.484979 0.463874 0.254154 0.478232
3 0.512868 0.479799 0.33076 0.518287
4 0.539534 0.494299 0.39525 0.557196
5 0.56154 0.503661 0.444859 0.587795
6 0.575934 0.504655 0.477513 0.603862
7 0.580782 0.495924 0.49194 0.601294
8 0.575524 0.477192 0.487749 0.578945
9 0.561082 0.449421 0.465483 0.538949
10 0.53969 0.41571 0.426615 0.486409
11 0.51448 0.38046 0.373494 0.428493
12 0.488909 0.347878 0.309223 0.373072
13 0.466135 0.321407 0.237457 0.327203
14 0.448498 0.303652 0.162149 0.295794
15 0.437203 0.295467 0.0872634 0.280803
16 0.432267 0.296289 0.0164953 0.28114
17 0.432716 0.304212 -0.0469429 0.293222
18 0.436949 0.316309 -0.100465 0.311958
19 0.44317 0.329274 -0.142173 0.331873
20 0.449792 0.34003 -0.170858 0.348101
21 0.455755 0.346305 -0.185972 0.357111
22 0.460698 0.346849 -0.187574 0.357112
23 0.465004 0.341486 -0.176286 0.348127
24 0.469715 0.331016 -0.153241 0.331802
25 0.476333 0.316935 -0.120036 0.310994
26 0.48655 0.301116 -0.0786797 0.289214
27 0.501936 0.285447 -0.0315337 0.270013
28 0.523637 0.271744 0.0187495 0.256374
29 0.552117 0.261797 0.0693009 0.250214
30 0.586998 0.257052 0.117121 0.25205
31 0.62704 0.258186 0.15919 0.260903
32 0.670284 0.264971 0.192599 0.274487
33 0.71436 0.276434 0.21472 0.289684
34 0.756916 0.290953 0.223384 0.303268
35 0.796084 0.306514 0.217067 0.312738
36 0.830861 0.321222 0.195041 0.317064
37 0.861318 0.333956 0.157471 0.317118
38 0.888547 0.344916 0.105434 0.315647
39 0.914367 0.354974 0.0408637 0.31675
40 0.940857 0.365815 -0.0335701 0.32498
41 0.96982 0.379384 -0.114638 0.34429
42 1.00231 0.397357 -0.198748 0.377085
43 1.03834 0.420692 -0.282152 0.423591
44 1.07678 0.449497 -0.361148 0.48167
45 1.1155 0.483359 -0.43225 0.547115
46 1.15175 0.520487 -0.492348 0.614325
47 1.18255 0.558888 -0.538829 0.677244
48 1.20521 0.595835 -0.569676 0.730359
49 1.21774 0.628996 -0.583537 0.769593
50 1.21921 0.656906 -0.57977 0.792931
51 1.20985 0.679675 -0.558451 0.800666
52 1.19101 0.69863 -0.520356 0.795244
53 1.165 0.715014 -0.466919 0.780725
