t PE VE R R2
1 0.936577 1.21092 -0.707118 1.26115
2 0.885018 1.16415 -0.661346 1.19301
3 0.811321 1.06788 -0.570991 1.06161
4 0.729173 0.945717 -0.440726 0.898402
5 0.655031 0.825471 -0.277024 0.74262
6 0.604602 0.732389 -0.0878733 0.633317
7 0.589695 0.684859 0.117458 0.601585
8 0.615921 0.693139 0.328632 0.663903
9 0.681399 0.758045 0.534508 0.817669
10 0.77658 0.865634 0.723588 1.04008
11 0.885481 0.999536 0.884689 1.29148
12 0.988601 1.1384 1.00782 1.52334
13 1.0673 1.24866 1.08508 1.68955
14 1.10855 1.31005 1.11146 1.75801
15 1.10866 1.31467 1.0853 1.71912
16 1.07441 1.2677 1.00853 1.58845
17 1.0215 1.20242 0.886554 1.40281
18 0.970263 1.15008 0.727885 1.21058
19 0.940091 1.13741 0.543539 1.0589
20 0.944103 1.18141 0.346194 0.981311
21 0.98559 1.28189 0.149244 0.989455
22 1.05727 1.42245 -0.0341354 1.07095
23 1.14342 1.57439 -0.191788 1.19368
24 1.22408 1.70265 -0.313254 1.31499
25 1.28041 1.77412 -0.390358 1.39335
26 1.29978 1.76642 -0.417739 1.39968
27 1.27952 1.67503 -0.393324 1.32584
28 1.228 1.5163 -0.318634 1.18779
29 1.16285 1.32241 -0.198877 1.02219
30 1.10619 1.13443 -0.0427382 0.876709
31 1.07834 0.991821 0.138139 0.796431
32 1.09155 0.922013 0.330029 0.810105
33 1.14591 0.933199 0.518284 0.920794
34 1.22876 1.01034 0.688658 1.10414
35 1.31789 1.12018 0.828543 1.31493
36 1.38749 1.22104 0.927927 1.49949
37 1.41489 1.27508 0.979936 1.60985
38 1.38614 1.26152 0.980996 1.61546
39 1.29929 1.1768 0.930748 1.51003
40 1.16471 1.03648 0.831866 1.31255
41 1.00278 0.872518 0.689889 1.06284
42 0.839348 0.721563 0.513067 0.812448
43 0.69985 0.610647 0.312129 0.612549
44 0.603377 0.555642 0.0998043 0.501066
45 0.55811 0.557002 -0.109994 0.492528
46 0.559665 0.600589 -0.303318 0.574141
47 0.593021 0.666442 -0.467459 0.709938
48 0.637441 0.731001 -0.592063 0.851762
49 0.672688 0.772433 -0.669897 0.953244
50 0.684584 0.775195 -0.697215 0.982212
51 0.668425 0.733911 -0.67382 0.928272
52 0.629591 0.655003 -0.602943 0.804152
53 0.581363 0.554318 -0.490976 0.641048
54 0.54057 0.454222 -0.347026 0.479415
55 0.522196 0.37586 -0.182204 0.357687
56 0.534618 0.335587 -0.00859353 0.302211
57 0.577198 0.340068 0.161966 0.32152
58 0.641163 0.386186 0.318979 0.406433
59 0.713083 0.463372 0.45388 0.534819
60 0.778879 0.557588 0.559966 0.678171
61 0.826609 0.650629 0.63202 0.807726
62 0.847973 0.727873 0.666123 0.899723
63 0.83941 0.778967 0.659904 0.940038
64 0.803107 0.802199 0.613048 0.927581
65 0.747242 0.804191 0.527777 0.875087
66 0.684724 0.799083 0.409108 0.806262
67 0.630255 0.802222 0.264778 0.749431
68 0.596405 0.82664 0.104817 0.729212
69 0.589949 0.878199 -0.0592624 0.7588
70 0.609796 0.953181 -0.215543 0.835635
71 0.647313 1.039 -0.352874 0.942142
72 0.68891 1.11744 -0.461904 1.0513
73 0.719891 1.17023 -0.53579 1.13484
74 0.728278 1.18493 -0.570557 1.17132
75 0.707515 1.15808 -0.565148 1.15149
76 0.657472 1.09527 -0.521252 1.07995
77 0.583731 1.00961 -0.443006 0.973133
78 0.495553 0.91771 -0.336587 0.854341
79 0.40322 0.834214 -0.209693 0.747587
80 0.31547 0.769221 -0.0709227 0.671689
81 0.237692 0.726515 0.0709221 0.636249
82 0.171212 0.704198 0.207482 0.64035
83 0.113699 0.696434 0.331333 0.673963
84 0.0603934 0.694816 0.436266 0.721214
85 0.00571918 0.692007 0.517399 0.764452
86 -0.0551131 0.680088 0.571184 0.788164
87 -0.124788 0.653081 0.595399 0.782089
88 -0.203004 0.609538 0.589142 0.743142
89 -0.28612 0.554422 0.552829 0.675945
90 -0.367388 0.49279 0.488171 0.591942
91 -0.43777 0.440805 0.398123 0.507299
92 -0.487294 0.411113 0.28682 0.439955
93 -0.506797 0.412359 0.15949 0.406249
94 -0.489794 0.449419 0.0223344 0.417604
95 -0.434047 0.521288 -0.11765 0.477746
96 -0.342443 0.620565 -0.252951 0.581081
97 -0.222841 0.734288 -0.375935 0.712816
98 -0.0868061 0.847043 -0.479333 0.851203
99 0.0525953 0.943115 -0.556808 0.971772
100 0.183473 1.00653 -0.603524 1.0528
101 0.297627 1.03055 -0.61668 1.08067
102 0.392198 1.01558 -0.595926 1.05355
103 0.469935 0.971077 -0.543588 0.982012
104 0.537887 0.911512 -0.46463 0.886069
105 0.604848 0.852175 -0.366262 0.789307
106 0.678343 0.804823 -0.257224 0.711948
107 0.762192 0.77567 -0.146793 0.66536
108 0.855475 0.764394 -0.0437257 0.649882
109 0.953157 0.765092 0.0446633 0.656402
110 1.04797 0.767958 0.113113 0.670573
111 1.13268 0.762434 0.158632 0.677761
112 1.20203 0.740167 0.180358 0.667006
113 1.25368 0.696912 0.179206 0.633158
114 1.28831 0.633236 0.157465 0.577161
115 1.30892 0.554234 0.11845 0.504973
116 1.31982 0.468043 0.0662357 0.425669
117 1.32539 0.383827 0.00543846 0.349232
118 1.32907 0.309892 -0.0590367 0.284483
119 1.33263 0.25232 -0.122296 0.237498
120 1.33597 0.214213 -0.1798 0.210798
121 1.33735 0.195371 -0.22768 0.203386
122 1.33407 0.193458 -0.262962 0.211477
123 1.32318 0.20414 -0.283627 0.22968
124 1.30216 0.222756 -0.288565 0.252337
125 1.26941 0.24609 -0.277492 0.274816
126 1.22467 0.272068 -0.250963 0.294545
127 1.16945 0.299026 -0.210472 0.311475
128 1.10708 0.327029 -0.158585 0.327727
129 1.04209 0.356828 -0.0989682 0.346386
130 0.978915 0.388806 -0.0362639 0.369851
131 0.92069 0.422395 0.0242458 0.398405
132 0.868681 0.455747 0.0771671 0.42966
133 0.822785 0.485958 0.117663 0.459214
134 0.782556 0.50992 0.14211 0.482275
135 0.748187 0.525427 0.148567 0.495518
136 0.720978 0.532065 0.136945 0.498333
137 0.703187 0.531243 0.108867 0.492966
138 0.697419 0.525815 0.0673289 0.483619
139 0.705861 0.519361 0.0162566 0.474966
140 0.729621 0.515112 -0.0399137 0.470688
141 0.768346 0.515024 -0.096597 0.472413
142 0.820176 0.519129 -0.149348 0.479313
143 0.881996 0.52546 -0.194099 0.488371
144 0.94988 0.530754 -0.227379 0.495236
145 1.01963 0.53113 -0.246532 0.495458
146 1.08732 0.523239 -0.249934 0.485805
147 1.14969 0.505526 -0.237187 0.465272
148 1.20445 0.478502 -0.209239 0.435416
149 1.25047 0.444724 -0.168355 0.399851
150 1.28773 0.407552 -0.117918 0.363031
151 1.31716 0.370201 -0.0620503 0.328823
152 1.34015 0.335027 -0.00515004 0.299445
153 1.35781 0.303148 0.0485593 0.27516
154 1.37039 0.274633 0.0953773 0.254721
155 1.37707 0.249096 0.13236 0.23628
156 1.37616 0.226273 0.157472 0.218403
157 1.36564 0.206398 0.16969 0.200876
158 1.3437 0.190617 0.169089 0.185055
159 1.30919 0.180972 0.156878 0.173632
160 1.26186 0.17988 0.135342 0.169827
161 1.20236 0.18956 0.107651 0.176259
162 1.13205 0.211017 0.0775345 0.193935
163 1.05268 0.243562 0.0488572 0.221784
164 0.966115 0.284761 0.0252239 0.256923
165 0.874187 0.330835 0.00967705 0.295505
166 0.778696 0.377563 0.00453123 0.333771
167 0.681515 0.421197 0.0113178 0.36899
168 0.584698 0.459198 0.030778 0.400087
169 0.490496 0.490825 0.062832 0.427895
170 0.401182 0.517356 0.106461 0.455006
171 0.318689 0.541769 0.159489 0.48507
172 0.244199 0.567769 0.218364 0.521406
173 0.177899 0.597994 0.278168 0.565081
174 0.1191 0.632729 0.333096 0.613344
175 0.0666213 0.668415 0.377362 0.659649
176 0.0192515 0.698828 0.40616 0.695641
177 -0.0238497 0.717566 0.416245 0.714038
178 -0.0627663 0.721005 0.406064 0.710908
179 -0.0965021 0.708147 0.37562 0.686598
180 -0.122877 0.680895 0.326292 0.645397
181 -0.138808 0.643208 0.260707 0.594326
182 -0.141 0.599547 0.182614 0.541405
183 -0.126876 0.554185 0.0966965 0.493745
184 -0.0954714 0.510263 0.00830394 0.455895
185 -0.0479716 0.469459 -0.0769415 0.428911
186 0.0123207 0.4322 -0.153612 0.410476
187 0.0806509 0.398062 -0.216976 0.396088
188 0.151941 0.366661 -0.263444 0.380923
189 0.222021 0.338296 -0.290869 0.361706
190 0.288525 0.313846 -0.298626 0.337896
191 0.351125 0.29439 -0.287452 0.31185
192 0.411065 0.2811 -0.259144 0.288079
193 0.470272 0.276551 -0.216225 0.27204
194 0.530389 0.283849 -0.161659 0.268838
195 0.592065 0.305171 -0.0986745 0.282097
196 0.654625 0.34146 -0.0306428 0.313111
197 0.716124 0.391801 0.038994 0.360397
198 0.773677 0.452745 0.106788 0.419717
199 0.823911 0.51848 0.169359 0.484659
200 0.863455 0.581831 0.22351 0.547684
201 0.889415 0.635695 0.266383 0.601492
202 0.899847 0.674916 0.295688 0.640474
203 0.894169 0.697631 0.309969 0.661971
204 0.873396 0.70548 0.308904 0.667023
205 0.840077 0.704435 0.29354 0.660318
206 0.797892 0.702649 0.2664 0.649113
207 0.751019 0.708887 0.231318 0.641296
208 0.703445 0.73006 0.192969 0.643177
209 0.658468 0.769551 0.156181 0.657935
210 0.61852 0.825973 0.125251 0.685302
211 0.585297 0.89452 0.10347 0.72239
212 0.5601 0.968086 0.0929497 0.765016
213 0.544193 1.03906 0.0946676 0.808908
214 0.53903 1.10102 0.108622 0.850496
215 0.546267 1.14892 0.134002 0.887261
216 0.567557 1.1792 0.169349 0.917737
217 0.60417 1.1898 0.212697 0.94125
218 0.65653 1.18022 0.261711 0.957528
219 0.723735 1.15148 0.313812 0.96633
220 0.803131 1.10545 0.366244 0.967205
221 0.890035 1.04514 0.416072 0.959417
222 0.977728 0.974625 0.460071 0.941923
223 1.05796 0.898037 0.494581 0.913278
224 1.12227 0.818817 0.515554 0.871552
225 1.16399 0.739145 0.519003 0.814709
226 1.18035 0.659547 0.501846 0.741834
227 1.17346 0.580546 0.462753 0.654788
228 1.14969 0.504231 0.402527 0.559118
229 1.11763 0.433336 0.323918 0.463431
230 1.08591 0.371421 0.231111 0.377505
231 1.06144 0.321437 0.12922 0.31
232 1.04846 0.285164 0.0239249 0.266475
233 1.04823 0.262427 -0.0787907 0.248121
234 1.05918 0.251708 -0.172918 0.251441
235 1.07755 0.250427 -0.252771 0.269044
236 1.09841 0.255306 -0.31339 0.291488
237 1.11697 0.262677 -0.35094 0.309775
238 1.12979 0.268876 -0.36303 0.317832
239 1.13564 0.271669 -0.348929 0.314274
240 1.13574 0.27166 -0.309666 0.302918
241 1.13316 0.273813 -0.248036 0.291852
242 1.13161 0.285847 -0.168521 0.291183
243 1.13364 0.314302 -0.0771472 0.309902
244 1.13885 0.363151 0.0187978 0.352576
245 1.1426 0.430977 0.111267 0.416871
246 1.13612 0.510016 0.1923 0.493143
247 1.10863 0.587693 0.255177 0.566925
248 1.05105 0.65062 0.29558 0.623749
249 0.959751 0.688979 0.312188 0.653972
250 0.83815 0.698283 0.306297 0.654938
251 0.695035 0.680371 0.280687 0.629949
252 0.541287 0.640649 0.238471 0.585823
253 0.387154 0.58671 0.182565 0.530945
254 0.241086 0.526863 0.115753 0.47412
255 0.10964 0.469107 0.0409853 0.42368
256 -0.0024058 0.420359 -0.0383688 0.386436
257 -0.0920993 0.385277 -0.118422 0.366553
258 -0.158464 0.365608 -0.194812 0.364635
259 -0.202526 0.360059 -0.262867 0.377385
260 -0.227007 0.364331 -0.317861 0.398093
261 -0.235639 0.373179 -0.355359 0.418069
262 -0.232184 0.381133 -0.371615 0.428846
263 -0.219399 0.383477 -0.363987 0.424702
264 -0.198238 0.378502 -0.331367 0.404814
265 -0.167591 0.367631 -0.274562 0.374238
266 -0.124777 0.355295 -0.196568 0.343061
267 -0.0668071 0.348932 -0.102636 0.323512
268 0.00787169 0.354935 1.05832e-05 0.325691
269 0.0977785 0.376376 0.102825 0.353467
270 0.197668 0.411372 0.196883 0.402405
271 0.299141 0.453222 0.273897 0.460855
272 0.392507 0.492548 0.327069 0.513819
273 0.469247 0.520519 0.351643 0.547958
274 0.524178 0.532041 0.345149 0.555857
275 0.556571 0.526896 0.307426 0.538266
276 0.569971 0.509598 0.240504 0.50388
277 0.570949 0.488477 0.148401 0.466926
278 0.567251 0.473352 0.0368435 0.443259
279 0.565793 0.472731 -0.0871057 0.445957
280 0.570921 0.491362 -0.215521 0.48155
281 0.583293 0.52859 -0.340165 0.547892
282 0.599695 0.578697 -0.453055 0.634312
283 0.613874 0.631629 -0.547003 0.724038
284 0.618225 0.673877 -0.61605 0.798263
285 0.605932 0.693649 -0.655805 0.840785
286 0.573048 0.686859 -0.663642 0.84201
287 0.519981 0.654566 -0.638813 0.801336
288 0.452002 0.604657 -0.582445 0.727393
289 0.378525 0.54947 -0.497452 0.636154
290 0.311303 0.504139 -0.388313 0.547387
291 0.262007 0.477992 -0.260705 0.480313
292 0.239915 0.477212 -0.121032 0.449546
293 0.250321 0.502546 0.0240786 0.46229
294 0.293943 0.5495 0.168186 0.517305
295 0.367235 0.610243 0.305287 0.605555
