t PE VE R00
1 14.9999 0.150013 -0.000179244
2 14.9999 0.15003 -0.000268866
3 14.9998 0.150053 -0.000358488
4 14.9997 0.150082 -0.00044811
5 14.9995 0.150119 -0.000537732
6 14.9994 0.150162 -0.000627354
7 14.9992 0.150212 -0.000716977
8 14.999 0.150269 -0.000806599
9 14.9987 0.150332 -0.000896222
10 14.9985 0.150402 -0.000985846
11 14.9982 0.150479 -0.00107547
12 14.9979 0.150563 -0.00116509
13 14.9975 0.150654 -0.00125472
14 14.9972 0.150752 -0.00134434
15 14.9968 0.150857 -0.00143397
16 14.9964 0.150968 -0.00152359
17 14.9959 0.151087 -0.00161322
18 14.9955 0.151213 -0.00170285
19 14.995 0.151345 -0.00179247
20 14.9944 0.151485 -0.0018821
21 14.9939 0.151632 -0.00197173
22 14.9933 0.151786 -0.00206136
23 14.9927 0.151947 -0.00215099
24 14.9921 0.152115 -0.00224062
25 14.9915 0.152291 -0.00233025
26 14.9908 0.152473 -0.00241988
27 14.9901 0.152663 -0.00250952
28 14.9894 0.15286 -0.00259915
29 14.9887 0.153065 -0.00268878
30 14.9879 0.153276 -0.00277842
31 14.9871 0.153495 -0.00286806
32 14.9863 0.153721 -0.00295769
33 14.9854 0.153955 -0.00304733
34 14.9846 0.154196 -0.00313697
35 14.9837 0.154444 -0.00322661
36 14.9828 0.1547 -0.00331625
37 14.9818 0.154963 -0.0034059
38 14.9808 0.155234 -0.00349554
39 14.9798 0.155512 -0.00358519
40 14.9788 0.155797 -0.00367483
41 14.9778 0.15609 -0.00376448
42 14.9767 0.156391 -0.00385413
43 14.9756 0.156699 -0.00394378
44 14.9745 0.157014 -0.00403343
45 14.9733 0.157337 -0.00412308
46 14.9722 0.157668 -0.00421274
47 14.971 0.158006 -0.00430239
48 14.9698 0.158352 -0.00439205
49 14.9685 0.158706 -0.00448171
50 14.9672 0.159067 -0.00457137
51 14.9659 0.159436 -0.00466103
52 14.9646 0.159812 -0.00475069
53 14.9633 0.160196 -0.00484036
54 14.9619 0.160588 -0.00493003
55 14.9605 0.160988 -0.00501969
56 14.9591 0.161395 -0.00510937
57 14.9576 0.16181 -0.00519904
58 14.9561 0.162233 -0.00528871
59 14.9546 0.162664 -0.00537839
60 14.9531 0.163102 -0.00546806
61 14.9516 0.163548 -0.00555774
62 14.95 0.164002 -0.00564742
63 14.9484 0.164464 -0.00573711
64 14.9468 0.164934 -0.00582679
65 14.9451 0.165411 -0.00591648
66 14.9434 0.165896 -0.00600617
67 14.9417 0.16639 -0.00609586
68 14.94 0.166891 -0.00618555
69 14.9382 0.1674 -0.00627525
70 14.9365 0.167916 -0.00636495
71 14.9347 0.168441 -0.00645464
72 14.9328 0.168974 -0.00654435
73 14.931 0.169514 -0.00663405
74 14.9291 0.170063 -0.00672376
75 14.9272 0.170619 -0.00681347
76 14.9253 0.171184 -0.00690318
77 14.9233 0.171756 -0.00699289
78 14.9213 0.172336 -0.00708261
79 14.9193 0.172925 -0.00717232
80 14.9173 0.173521 -0.00726204
81 14.9152 0.174125 -0.00735177
82 14.9131 0.174737 -0.00744149
83 14.911 0.175357 -0.00753122
84 14.9089 0.175986 -0.00762095
85 14.9067 0.176622 -0.00771069
86 14.9046 0.177266 -0.00780042
87 14.9024 0.177918 -0.00789016
88 14.9001 0.178579 -0.0079799
89 14.8979 0.179247 -0.00806964
90 14.8956 0.179923 -0.00815939
91 14.8933 0.180608 -0.00824914
92 14.8909 0.1813 -0.00833889
93 14.8886 0.182 -0.00842865
94 14.8862 0.182709 -0.00851841
95 14.8838 0.183426 -0.00860817
96 14.8813 0.18415 -0.00869793
97 14.8789 0.184883 -0.0087877
98 14.8764 0.185623 -0.00887747
99 14.8739 0.186372 -0.00896724
100 14.8713 0.187129 -0.00905702
101 14.8687 0.187894 -0.0091468
102 14.8662 0.188667 -0.00923658
103 14.8635 0.189448 -0.00932636
104 14.8609 0.190237 -0.00941615
105 14.8582 0.191034 -0.00950594
106 14.8555 0.191839 -0.00959574
107 14.8528 0.192652 -0.00968554
108 14.8501 0.193473 -0.00977534
109 14.8473 0.194303 -0.00986514
110 14.8445 0.19514 -0.00995495
111 14.8417 0.195985 -0.0100448
112 14.8388 0.196839 -0.0101346
113 14.836 0.1977 -0.0102244
114 14.8331 0.19857 -0.0103142
115 14.8302 0.199447 -0.010404
116 14.8272 0.200333 -0.0104939
117 14.8242 0.201226 -0.0105837
118 14.8212 0.202128 -0.0106735
119 14.8182 0.203037 -0.0107634
120 14.8152 0.203955 -0.0108532
121 14.8121 0.204881 -0.0109431
122 14.809 0.205814 -0.0110329
123 14.8059 0.206756 -0.0111228
124 14.8027 0.207706 -0.0112126
125 14.7995 0.208663 -0.0113025
126 14.7963 0.209629 -0.0113924
127 14.7931 0.210603 -0.0114822
128 14.7898 0.211584 -0.0115721
129 14.7866 0.212574 -0.011662
130 14.7832 0.213571 -0.0117519
131 14.7799 0.214576 -0.0118417
132 14.7766 0.21559 -0.0119316
133 14.7732 0.216611 -0.0120215
134 14.7698 0.21764 -0.0121114
135 14.7663 0.218677 -0.0122013
136 14.7629 0.219722 -0.0122912
137 14.7594 0.220775 -0.0123811
138 14.7559 0.221835 -0.012471
139 14.7523 0.222904 -0.012561
140 14.7488 0.22398 -0.0126509
141 14.7452 0.225065 -0.0127408
142 14.7416 0.226157 -0.0128307
143 14.7379 0.227257 -0.0129207
144 14.7343 0.228364 -0.0130106
145 14.7306 0.22948 -0.0131005
146 14.7269 0.230603 -0.0131905
147 14.7231 0.231734 -0.0132804
148 14.7194 0.232873 -0.0133704
149 14.7156 0.234019 -0.0134604
150 14.7117 0.235174 -0.0135503
151 14.7079 0.236336 -0.0136403
152 14.704 0.237505 -0.0137303
153 14.7001 0.238683 -0.0138202
154 14.6962 0.239868 -0.0139102
155 14.6923 0.24106 -0.0140002
156 14.6883 0.242261 -0.0140902
157 14.6843 0.243469 -0.0141802
158 14.6803 0.244684 -0.0142702
159 14.6762 0.245907 -0.0143602
160 14.6721 0.247138 -0.0144502
161 14.668 0.248376 -0.0145402
162 14.6639 0.249622 -0.0146303
163 14.6597 0.250875 -0.0147203
164 14.6556 0.252136 -0.0148103
165 14.6514 0.253404 -0.0149003
166 14.6471 0.25468 -0.0149904
167 14.6429 0.255963 -0.0150804
168 14.6386 0.257254 -0.0151705
169 14.6343 0.258552 -0.0152605
170 14.6299 0.259858 -0.0153506
171 14.6256 0.26117 -0.0154407
172 14.6212 0.262491 -0.0155307
173 14.6168 0.263818 -0.0156208
174 14.6123 0.265153 -0.0157109
175 14.6079 0.266495 -0.015801
176 14.6034 0.267844 -0.015891
177 14.5989 0.269201 -0.0159811
178 14.5943 0.270565 -0.0160712
179 14.5898 0.271936 -0.0161613
180 14.5852 0.273314 -0.0162515
181 14.5806 0.2747 -0.0163416
182 14.5759 0.276092 -0.0164317
183 14.5712 0.277492 -0.0165218
184 14.5665 0.278898 -0.0166119
185 14.5618 0.280312 -0.0167021
186 14.5571 0.281733 -0.0167922
187 14.5523 0.283161 -0.0168824
188 14.5475 0.284596 -0.0169725
189 14.5427 0.286038 -0.0170627
190 14.5378 0.287486 -0.0171528
191 14.5329 0.288942 -0.017243
192 14.528 0.290405 -0.0173332
193 14.5231 0.291874 -0.0174234
194 14.5182 0.293351 -0.0175136
195 14.5132 0.294834 -0.0176037
196 14.5082 0.296324 -0.0176939
197 14.5031 0.29782 -0.0177841
198 14.4981 0.299324 -0.0178744
199 14.493 0.300834 -0.0179646
200 14.4879 0.302351 -0.0180548
201 14.4827 0.303874 -0.018145
202 14.4776 0.305404 -0.0182352
203 14.4724 0.306941 -0.0183255
204 14.4672 0.308485 -0.0184157
205 14.4619 0.310034 -0.018506
206 14.4567 0.311591 -0.0185962
207 14.4514 0.313154 -0.0186865
208 14.4461 0.314723 -0.0187767
209 14.4407 0.316299 -0.018867
210 14.4353 0.317881 -0.0189573
211 14.4299 0.319469 -0.0190476
212 14.4245 0.321064 -0.0191379
213 14.4191 0.322666 -0.0192282
214 14.4136 0.324273 -0.0193185
215 14.4081 0.325887 -0.0194088
216 14.4026 0.327507 -0.0194991
217 14.397 0.329133 -0.0195894
218 14.3914 0.330765 -0.0196797
219 14.3858 0.332404 -0.0197701
220 14.3802 0.334048 -0.0198604
221 14.3745 0.335699 -0.0199507
222 14.3689 0.337355 -0.0200411
223 14.3632 0.339018 -0.0201314
224 14.3574 0.340686 -0.0202218
225 14.3517 0.342361 -0.0203122
226 14.3459 0.344041 -0.0204026
227 14.3401 0.345728 -0.0204929
228 14.3342 0.34742 -0.0205833
229 14.3284 0.349118 -0.0206737
230 14.3225 0.350821 -0.0207641
231 14.3166 0.352531 -0.0208545
232 14.3106 0.354246 -0.0209449
233 14.3046 0.355967 -0.0210354
234 14.2987 0.357693 -0.0211258
235 14.2926 0.359425 -0.0212162
236 14.2866 0.361163 -0.0213066
237 14.2805 0.362906 -0.0213971
238 14.2744 0.364654 -0.0214875
239 14.2683 0.366408 -0.021578
240 14.2621 0.368168 -0.0216685
241 14.256 0.369933 -0.0217589
242 14.2498 0.371703 -0.0218494
243 14.2435 0.373478 -0.0219399
244 14.2373 0.375259 -0.0220304
245 14.231 0.377045 -0.0221209
246 14.2247 0.378836 -0.0222114
247 14.2184 0.380633 -0.0223019
248 14.212 0.382434 -0.0223924
249 14.2056 0.384241 -0.0224829
250 14.1992 0.386053 -0.0225735
251 14.1928 0.387869 -0.022664
252 14.1863 0.389691 -0.0227546
253 14.1798 0.391518 -0.0228451
254 14.1733 0.393349 -0.0229357
255 14.1668 0.395185 -0.0230262
256 14.1602 0.397027 -0.0231168
257 14.1536 0.398873 -0.0232074
258 14.147 0.400723 -0.023298
259 14.1404 0.402579 -0.0233886
260 14.1337 0.404439 -0.0234792
261 14.127 0.406304 -0.0235698
262 14.1203 0.408173 -0.0236604
263 14.1135 0.410047 -0.023751
264 14.1068 0.411925 -0.0238416
265 14.1 0.413808 -0.0239323
266 14.0931 0.415695 -0.0240229
267 14.0863 0.417587 -0.0241135
268 14.0794 0.419483 -0.0242042
269 14.0725 0.421384 -0.0242949
270 14.0656 0.423288 -0.0243855
271 14.0586 0.425197 -0.0244762
272 14.0516 0.42711 -0.0245669
273 14.0446 0.429028 -0.0246576
274 14.0376 0.430949 -0.0247483
275 14.0305 0.432874 -0.024839
276 14.0235 0.434804 -0.0249297
277 14.0164 0.436737 -0.0250204
278 14.0092 0.438675 -0.0251111
279 14.0021 0.440616 -0.0252019
280 13.9949 0.442561 -0.0252926
281 13.9877 0.44451 -0.0253834
282 13.9804 0.446463 -0.0254741
283 13.9732 0.44842 -0.0255649
284 13.9659 0.45038 -0.0256556
285 13.9585 0.452344 -0.0257464
286 13.9512 0.454311 -0.0258372
287 13.9438 0.456283 -0.025928
288 13.9364 0.458257 -0.0260188
289 13.929 0.460235 -0.0261096
290 13.9216 0.462217 -0.0262004
291 13.9141 0.464202 -0.0262912
292 13.9066 0.46619 -0.0263821
293 13.8991 0.468182 -0.0264729
294 13.8915 0.470177 -0.0265637
295 13.884 0.472175 -0.0266546
296 13.8764 0.474177 -0.0267454
297 13.8687 0.476181 -0.0268363
298 13.8611 0.478189 -0.0269272
299 13.8534 0.4802 -0.0270181
300 13.8457 0.482213 -0.027109
301 13.838 0.48423 -0.0271998
302 13.8302 0.48625 -0.0272908
303 13.8224 0.488272 -0.0273817
304 13.8146 0.490298 -0.0274726
305 13.8068 0.492326 -0.0275635
306 13.799 0.494357 -0.0276544
307 13.7911 0.496391 -0.0277454
308 13.7832 0.498427 -0.0278363
309 13.7752 0.500466 -0.0279273
310 13.7673 0.502508 -0.0280182
311 13.7593 0.504552 -0.0281092
312 13.7513 0.506599 -0.0282002
313 13.7432 0.508648 -0.0282912
314 13.7352 0.510699 -0.0283822
315 13.7271 0.512753 -0.0284732
316 13.719 0.514809 -0.0285642
317 13.7108 0.516868 -0.0286552
318 13.7027 0.518929 -0.0287462
319 13.6945 0.520992 -0.0288373
320 13.6863 0.523057 -0.0289283
321 13.678 0.525124 -0.0290194
322 13.6698 0.527193 -0.0291104
323 13.6615 0.529265 -0.0292015
324 13.6532 0.531338 -0.0292925
325 13.6448 0.533413 -0.0293836
326 13.6365 0.53549 -0.0294747
327 13.6281 0.537569 -0.0295658
328 13.6197 0.53965 -0.0296569
329 13.6112 0.541732 -0.029748
330 13.6027 0.543817 -0.0298391
331 13.5942 0.545903 -0.0299303
332 13.5857 0.54799 -0.0300214
