t PE VE R R2 BS
0 7.90348 27.8999 -1.20986 9.89461 1.37382
1 7.89959 28.1002 -1.21974 9.88869 1.37452
2 7.89608 28.3503 -1.22961 9.88316 1.37521
3 7.89294 28.6665 -1.23948 9.87808 1.37591
4 7.89036 29.0705 -1.24933 9.87356 1.3766
5 7.88802 29.6025 -1.25915 9.8693 1.37729
6 7.88611 30.3179 -1.26898 9.86556 1.37798
7 7.88463 31.3175 -1.2788 9.86231 1.37867
8 7.88345 32.7833 -1.28862 9.85941 1.37937
9 7.88268 35.0724 -1.29843 9.85691 1.38006
10 7.88221 38.9889 -1.30826 9.85476 1.38075
11 7.8821 46.5443 -1.31807 9.853 1.38144
12 7.88231 64.6183 -1.32787 9.85161 1.38214
13 7.88256 131.125 -1.33763 9.85026 1.38283
14 7.88276 1134.84 -1.34735 9.84896 1.38357
15 7.88034 476.474 -1.35706 9.84537 1.38505
16 7.8796 103.537 -1.36677 9.84344 1.38647
17 7.87938 65.4007 -1.37646 9.84207 1.38788
18 7.87956 58.6764 -1.38615 9.8411 1.3893
19 7.88012 64.2902 -1.39584 9.84058 1.39105
20 7.88084 86.7328 -1.40548 9.84026 1.393
21 7.88189 166.83 -1.41509 9.84029 1.39496
22 7.88296 860.859 -1.42468 9.84047 1.39695
23 7.88236 3544.23 -1.43426 9.83922 1.39912
24 7.89109 377.763 -1.44383 9.84635 1.4005
25 7.90091 162.539 -1.45335 9.85452 1.40182
26 7.91124 101.021 -1.46284 9.86322 1.40311
27 7.92181 75.0881 -1.47228 9.87216 1.40438
28 7.93272 61.8963 -1.4817 9.88145 1.40564
29 7.94394 54.5052 -1.49108 9.89112 1.40689
30 7.95539 50.2191 -1.50044 9.90102 1.40813
31 7.96709 47.8699 -1.50975 9.91121 1.40936
32 7.97904 46.9524 -1.51904 9.92166 1.4106
33 7.99126 47.3719 -1.52832 9.93244 1.41183
34 8.00377 49.3807 -1.5376 9.94356 1.41307
35 8.01662 53.7063 -1.54687 9.95508 1.4143
36 8.02959 62.3396 -1.5561 9.96677 1.41555
37 8.04281 80.9406 -1.56534 9.97871 1.41681
38 8.05617 130.635 -1.57456 9.99083 1.41807
39 8.06941 354.909 -1.58374 10.0029 1.41935
40 8.08217 23301.1 -1.59295 10.0146 1.42072
41 8.03872 57.5718 -1.60214 9.97749 1.42807
42 7.99768 125.184 -1.61131 9.94302 1.43542
43 7.95861 345.924 -1.62048 9.91074 1.44276
44 7.92149 88.3433 -1.62964 9.88066 1.45014
45 7.88667 5887.61 -1.63881 9.85304 1.45751
46 7.86789 64.9359 -1.64797 9.83985 1.46384
47 7.8507 42.6272 -1.65714 9.82837 1.47037
48 7.83493 38.3953 -1.66627 9.81846 1.47691
49 7.82064 38.1324 -1.6754 9.81016 1.48356
50 7.80796 41.7576 -1.68453 9.80361 1.49019
51 7.79673 65.4513 -1.69363 9.7987 1.49684
52 7.78676 1109.64 -1.70269 9.79521 1.50418
53 7.781 4205.08 -1.71175 9.79555 1.51116
54 7.78507 85.6199 -1.72079 9.80412 1.51648
55 7.79003 65.1517 -1.72982 9.81369 1.52177
56 7.79573 137.846 -1.73883 9.82408 1.52706
57 7.80182 581.71 -1.74779 9.835 1.53237
58 7.81007 107.117 -1.75675 9.84791 1.53748
59 7.81889 52592.9 -1.76566 9.8615 1.54261
60 8.01769 352.176 -1.77454 10.0228 1.51283
61 8.2352 35.4564 -1.78337 10.2056 1.48415
62 8.47221 43.9423 -1.79218 10.4106 1.45804
63 8.72867 79.8835 -1.80097 10.6378 1.43307
64 9.00464 62.7907 -1.80978 10.8871 1.40925
65 9.29975 49.5805 -1.81855 11.1582 1.38624
66 9.61419 201.788 -1.82735 11.4513 1.36363
67 9.94724 215.991 -1.83612 11.7657 1.34375
68 10.2999 32.1696 -1.84486 12.1023 1.32801
69 10.6715 29.4404 -1.85359 12.4604 1.31538
70 11.0621 29.6385 -1.86229 12.8402 1.3054
71 11.4717 29.995 -1.87099 13.2415 1.2982
72 11.9 30.2317 -1.87967 13.6641 1.291
