n t PE VE R R2 BS
0 0 0.0533009 0.107956 -0.0284757 0.0478999 0.0478763
10 1831 0.689094 1.04178 -0.301487 0.478509 0.474155
20 1821 0.944706 0.975757 -0.332937 0.468856 0.452516
30 1908 1.19922 0.948465 -0.367528 0.467318 0.412078
40 2356 1.24099 0.98549 -0.406316 0.491225 0.379185
50 1818 0.966333 1.06394 -0.449773 0.533559 0.383355
60 2446 0.471805 1.14237 -0.491184 0.579992 0.387909
70 2129 -0.253152 1.21645 -0.510981 0.617084 0.399962
80 2124 -0.752268 1.24088 -0.51134 0.627141 0.408415
90 1827 -1.32488 1.19609 -0.495939 0.601892 0.397796
100 1820 -1.67627 1.06746 -0.452171 0.524294 0.379859
110 2447 -1.70042 0.884055 -0.38697 0.412634 0.347695
120 1815 -1.62546 0.730991 -0.321125 0.311092 0.310376
130 1821 -1.22468 0.620933 -0.25513 0.228384 0.282441
140 2450 -0.594876 0.557482 -0.194518 0.17357 0.2633
150 2445 -0.0368524 0.53542 -0.147523 0.146763 0.258218
160 1815 0.253634 0.538265 -0.0987072 0.136841 0.271005
170 1818 0.26316 0.561439 -0.0512584 0.142518 0.287608
180 1817 0.0707993 0.598497 0.00027254 0.158573 0.310724
190 2495 -0.0505843 0.629683 0.0432049 0.172708 0.325422
200 1836 -0.000922364 0.636197 0.063739 0.175992 0.326185
210 2464 0.146986 0.628325 0.0913595 0.172619 0.317554
220 2000 0.167178 0.63323 0.107964 0.174171 0.314532
230 2305 0.374827 0.61201 0.119029 0.165353 0.298008
240 1816 0.512446 0.573642 0.117504 0.149052 0.279485
250 1816 0.745497 0.533684 0.105753 0.130665 0.26559
260 2443 1.14985 0.483137 0.0720443 0.103087 0.242957
270 1817 1.52386 0.452435 0.042832 0.0843079 0.226993
280 2448 1.68534 0.444722 0.0144899 0.0784265 0.221466
290 2247 1.76938 0.455658 0.00534774 0.0844455 0.227139
300 2014 1.87854 0.473762 0.013018 0.095698 0.244528
310 1824 1.87612 0.498721 0.0121938 0.112371 0.274881
320 2298 1.97896 0.519197 0.0222156 0.126098 0.297916
330 1974 2.11874 0.529456 0.0456722 0.132768 0.302279
340 2213 2.31131 0.531807 0.0975413 0.136522 0.295698
350 2048 2.37375 0.534079 0.149131 0.141268 0.282417
360 2463 2.24754 0.534533 0.170121 0.143347 0.275252
370 1818 2.06129 0.538889 0.175867 0.147164 0.27554
380 1907 2.06467 0.54347 0.167798 0.151777 0.280733
390 3592 2.182 0.563539 0.168693 0.169286 0.290749
400 1842 2.37591 0.583723 0.154476 0.187296 0.300967
410 1839 2.46868 0.613783 0.136648 0.207476 0.321256
420 2456 2.45257 0.641261 0.114339 0.221147 0.338728
430 1844 2.36021 0.681387 0.0769878 0.238213 0.357906
440 1873 2.01202 0.719579 0.0236158 0.251634 0.378974
450 2484 1.45338 0.716905 -0.0143696 0.240657 0.380374
