t PE VE R R2 BS
1 14.4643 0.829764 0.00165928 0.0836003 0.0455971
2 14.1092 0.847369 0.000442435 0.0865382 0.065876
3 13.6603 0.87176 -0.000507101 0.0905503 0.0859808
4 13.1459 0.901233 -0.00110402 0.0951719 0.105574
5 12.5361 0.936598 -0.00220404 0.100575 0.123693
6 11.8813 0.975365 -0.00242831 0.106203 0.1417
7 11.2017 1.01452 -0.00287477 0.111545 0.158039
8 10.4851 1.06029 -0.00463984 0.117792 0.172338
9 9.81025 1.11123 -0.00621591 0.124987 0.186008
10 9.21478 1.16345 -0.00779367 0.132232 0.196993
11 8.71356 1.21502 -0.00969599 0.139224 0.207267
12 8.2996 1.26174 -0.0122709 0.145361 0.217025
13 8.00505 1.30262 -0.0145046 0.150469 0.225518
14 7.71498 1.35182 -0.017073 0.156798 0.233269
15 7.35016 1.40756 -0.0189558 0.163577 0.241841
16 7.06172 1.46368 -0.0204835 0.170723 0.249923
17 6.83162 1.5186 -0.0229741 0.177821 0.257901
18 6.52308 1.57853 -0.0242897 0.185516 0.266953
19 6.23356 1.64242 -0.0241392 0.19381 0.274874
20 6.01088 1.70169 -0.0242333 0.201512 0.281851
21 5.81442 1.75533 -0.0225415 0.208361 0.287892
22 5.60386 1.81066 -0.0215913 0.215443 0.294077
23 5.4993 1.85655 -0.021941 0.221214 0.299599
24 5.46155 1.8933 -0.0226873 0.225836 0.303646
25 5.48038 1.92957 -0.0233186 0.230355 0.308128
26 5.46655 1.96458 -0.0246895 0.234839 0.312261
27 5.45566 1.9955 -0.0256406 0.238717 0.316819
28 5.4583 2.02428 -0.0271417 0.242519 0.321444
29 5.46275 2.04503 -0.0284199 0.245272 0.325258
30 5.51037 2.05177 -0.0305727 0.246632 0.329151
31 5.56584 2.06386 -0.0326364 0.24826 0.334216
32 5.66122 2.07658 -0.0349614 0.249661 0.33851
33 5.65215 2.10376 -0.0366867 0.252404 0.343351
34 5.53847 2.14039 -0.0391385 0.256109 0.347717
35 5.39871 2.17775 -0.0422516 0.259921 0.351585
36 5.24029 2.21644 -0.0454644 0.26375 0.354352
37 5.14757 2.24851 -0.0490452 0.266716 0.355264
38 4.99023 2.29282 -0.0515217 0.271161 0.357742
39 4.90218 2.32771 -0.0532069 0.274592 0.35975
40 4.92501 2.35991 -0.0552226 0.277824 0.361171
41 4.95438 2.37965 -0.0574147 0.279635 0.362433
42 4.92504 2.39944 -0.0608501 0.281511 0.363409
43 4.8648 2.4209 -0.0626185 0.28336 0.3656
44 4.69175 2.45424 -0.0653151 0.286811 0.368821
45 4.496 2.48728 -0.0668626 0.290142 0.371682
46 4.35951 2.51002 -0.0696687 0.29263 0.373351
47 4.2372 2.52787 -0.0734654 0.294721 0.374512
